title,description,text,timestamp,source,link,dataset_source,sentiment_label,sentiment_score,topic_label,related_asset,impact_score,supervised_sentiment_label,supervised_sentiment_score
"Bitcoin and ethereum price today , Thursday , April 16 , 2026 : Prices hold amid profit - taking and cautious outlook",https://s.yimg.com/uu/api/res/1.2/nI.hSGR3_nPaHq8YIx06HA--~B/aD00NTk7dz02MTI7YXBwaWQ9eXRhY2h5b24-/https://d29szjachogqwa.cloudfront.net/images/user-uploaded/ethereum_%20_bitcoin_0304.jpg,https://s.yimg.com/uu/api/res/1.2/nI.hSGR3_nPaHq8YIx06HA--~B/aD00NTk7dz02MTI7YXBwaWQ9eXRhY2h5b24-/https://d29szjachogqwa.cloudfront.net/images/user-uploaded/ethereum_%20_bitcoin_0304.jpg,20260417T184500Z,finance.yahoo.com,https://finance.yahoo.com/personal-finance/investing/article/bitcoin-and-ethereum-price-today-thursday-april-16-2026-prices-hold-amid-profit-taking-and-cautious-outlook-111641743.html,gdelt,neutral,0.5,macro,BTC,0.0,0,0.5
Charles Schwab To Launch Spot Bitcoin Trading For Retail Clients,https://assets.zerohedge.com/s3fs-public/styles/16_9_max_700/public/2026-04/Charles-Schwab-to-Launch-Spot-Bi.jpg?c3c&itok=Byg2BQQo,https://assets.zerohedge.com/s3fs-public/styles/16_9_max_700/public/2026-04/Charles-Schwab-to-Launch-Spot-Bi.jpg?c3c&itok=Byg2BQQo,20260417T190000Z,zerohedge.com,https://www.zerohedge.com/crypto/charles-schwab-launch-spot-bitcoin-trading-retail-clients,gdelt,neutral,0.5,macro,BTC,0.0,0,0.5
Schwab moves into spot crypto trading with phased retail rollout,https://cdn-res.keymedia.com/cms/images/in/deni_639094266849356150.jpg,https://cdn-res.keymedia.com/cms/images/in/deni_639094266849356150.jpg,20260417T044500Z,investmentnews.com,https://www.investmentnews.com/alternatives/schwab-moves-into-spot-crypto-trading-with-phased-retail-rollout/266184,gdelt,neutral,0.5,macro,,0.0,0,0.5
"Bitcoin , Ethereum Face Resistance While XRP , Dogecoin Show Strength - Grayscale Bitcoin Mini Trust ( BTC ) ",https://cdn.benzinga.com/files/images/story/2026/04/16/Antalya--Turkey---December-4--2024-Bitco.jpeg?&fit=crop,https://cdn.benzinga.com/files/images/story/2026/04/16/Antalya--Turkey---December-4--2024-Bitco.jpeg?&fit=crop,20260416T204500Z,benzinga.com,https://www.benzinga.com/crypto/cryptocurrency/26/04/51871150/bitcoin-ethereum-face-resistance-while-xrp-dogecoin-show-strength,gdelt,neutral,0.5,macro,BTC,0.0,0,0.5
Bitcoin Breaks Two - Month High After Iran Reopens Strait Of Hormuz,"https://imageio.forbes.com/specials-images/imageserve/69e26572399f3862759ba609/0x0.jpg?format=jpg&crop=2906,1633,x0,y150,safe&fit=bounds","https://imageio.forbes.com/specials-images/imageserve/69e26572399f3862759ba609/0x0.jpg?format=jpg&crop=2906,1633,x0,y150,safe&fit=bounds",20260417T180000Z,forbes.com,https://www.forbes.com/sites/aliciapark/2026/04/17/crypto-stocks-rally-as-bitcoin-breaks-two-month-high-after-iran-reopens-strait/,gdelt,neutral,0.5,macro,BTC,0.0,0,0.5
"Bitcoin holds near $74 , 600 , Ethereum steady above $2 , 300 amid volatility ; technicals signal strength","https://img.etimg.com/thumb/msid-130326820,width-1200,height-630,imgsize-56020,overlay-etmarkets/articleshow.jpg","https://img.etimg.com/thumb/msid-130326820,width-1200,height-630,imgsize-56020,overlay-etmarkets/articleshow.jpg",20260417T083000Z,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/cryptocurrency/crypto-influencers/bitcoin-holds-near-74600-ethereum-steady-above-2300-amid-volatility-technicals-signal-strength/articleshow/130326810.cms,gdelt,neutral,0.5,macro,BTC,0.0,0,0.5
Morning Minute : The Next Fed Chair Has a Crypto Portfolio,https://s.yimg.com/ny/api/res/1.2/tV1fPTFTsTUZwd5PnLBohw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/decrypt_157/50d5a1643a4e12b17059f0f45a7e350d,https://s.yimg.com/ny/api/res/1.2/tV1fPTFTsTUZwd5PnLBohw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/decrypt_157/50d5a1643a4e12b17059f0f45a7e350d,20260416T210000Z,finance.yahoo.com,https://finance.yahoo.com/markets/crypto/articles/morning-minute-next-fed-chair-121440212.html,gdelt,neutral,0.5,macro,,0.0,0,0.5
"Bitcoin Surges To $77 , 000 As Market Flips To Greed On Ethereum , XRP , Dogecoin Jumping 3 % ",https://cdn.benzinga.com/files/images/story/2026/04/17/Golden-Bitcoin-Cryptocurrency-Concept-Wi.jpeg?&fit=crop,https://cdn.benzinga.com/files/images/story/2026/04/17/Golden-Bitcoin-Cryptocurrency-Concept-Wi.jpeg?&fit=crop,20260417T193000Z,benzinga.com,https://www.benzinga.com/crypto/cryptocurrency/26/04/51896091/bitcoin-surges-to-77000-as-market-flips-to-greed-on-ethereum-xrp-dogecoin-jumping-3,gdelt,neutral,0.5,macro,BTC,0.0,2,0.5334194883014003
Cryptos Rise On Iran Deal Optimism,https://www.finanznachrichten.de/content/g/fb.png,https://www.finanznachrichten.de/content/g/fb.png,20260417T131500Z,finanznachrichten.de,https://www.finanznachrichten.de/nachrichten-2026-04/68229496-cryptos-rise-on-iran-deal-optimism-020.htm,gdelt,neutral,0.5,macro,,0.0,0,0.5
"Could Bitcoin Hit $90 , 000 And Trigger A New Altcoin Rally ? Expert Cites 6 Major Catalysts",https://www.newsbtc.com/wp-content/uploads/2026/04/image_FkJdu0_b_1776363079800_raw.jpg,https://www.newsbtc.com/wp-content/uploads/2026/04/image_FkJdu0_b_1776363079800_raw.jpg,20260416T204500Z,newsbtc.com,https://www.newsbtc.com/breaking-news-ticker/could-bitcoin-hit-90000-and-trigger-a-new-altcoin-rally-expert-cites-6-major-catalysts/,gdelt,neutral,0.5,macro,BTC,0.0,0,0.5
